Bancs,camera,zone,Pop,5_degres_C_TMG_j,Aire_sous_la_courbe,15_j,16_j,17_j,18_j,19_j,20_j,21_j
3.0,1.0,11.0,Témoin,17.25,2652.0,4.0,16.0,20.0,24.0,32.0,36.0,40.0
3.0,2.0,11.0,Témoin,17.95,2652.0,0.0,4.0,4.0,12.0,24.0,28.0,28.0
3.0,3.0,11.0,Témoin,15.95,2652.0,8.0,12.0,20.0,20.0,20.0,24.0,28.0
3.0,4.0,11.0,Témoin,17.5,2652.0,4.0,4.0,4.0,4.0,12.0,16.0,16.0
4.0,1.0,11.0,Témoin,18.04,2646.0,4.0,4.0,16.0,16.0,24.0,32.0,36.0
4.0,2.0,11.0,Témoin,17.24,2646.0,8.0,12.0,20.0,32.0,36.0,36.0,44.0
4.0,3.0,11.0,Témoin,18.62,2646.0,4.0,4.0,8.0,16.0,20.0,24.0,40.0
4.0,4.0,11.0,Témoin,17.9,2646.0,0.0,0.0,8.0,8.0,12.0,20.0,20.0
3.0,1.0,11.0,Témoin,14.76,5731.2,16.0,28.0,28.0,32.0,36.0,36.0,36.0
3.0,2.0,26.0,Témoin,15.74,5731.2,12.0,20.0,20.0,20.0,32.0,36.0,36.0
3.0,3.0,31.0,Témoin,15.96,5731.2,20.0,32.0,40.0,52.0,56.0,56.0,60.0
3.0,4.0,46.0,Témoin,16.12,5731.2,8.0,24.0,32.0,36.0,36.0,36.0,44.0
3.0,3.0,31.0,Témoin,15.92,5731.2,16.0,24.0,40.0,40.0,44.0,44.0,48.0
4.0,1.0,11.0,Témoin,15.4,5536.0,8.0,16.0,32.0,36.0,40.0,40.0,40.0
4.0,2.0,36.0,Témoin,16.97,2016.0,0.0,8.0,12.0,16.0,20.0,20.0,20.0
4.0,3.0,21.0,Témoin,17.48,3184.0,4.0,8.0,12.0,24.0,32.0,32.0,36.0
4.0,4.0,46.0,Témoin,17.33,2944.0,8.0,12.0,16.0,16.0,24.0,32.0,32.0
4.0,2.0,26.0,Témoin,16.4,5952.0,4.0,24.0,32.0,36.0,44.0,48.0,52.0
3.0,1.0,41.0,Témoin,16.64,3126.4,4.0,12.0,20.0,20.0,24.0,28.0,28.0
3.0,2.0,36.0,Témoin,16.91,3126.4,8.0,16.0,20.0,24.0,32.0,32.0,36.0
3.0,3.0,21.0,Témoin,16.14,3126.4,12.0,20.0,20.0,24.0,24.0,28.0,28.0
3.0,4.0,16.0,Témoin,17.07,3126.4,0.0,4.0,12.0,16.0,16.0,20.0,20.0
3.0,3.0,21.0,Témoin,17.13,3126.4,4.0,8.0,24.0,32.0,32.0,40.0,40.0
3.0,2.0,36.0,Témoin,15.88,2504.0,8.0,16.0,24.0,28.0,28.0,28.0,28.0
3.0,3.0,21.0,Témoin,15.83,2352.0,4.0,4.0,12.0,12.0,12.0,12.0,12.0
3.0,1.0,11.0,Témoin,18.14,1868.0,0.0,0.0,8.0,12.0,20.0,20.0,24.0
3.0,3.0,31.0,Témoin,16.83,1868.0,4.0,8.0,16.0,16.0,16.0,16.0,20.0
4.0,1.0,41.0,Témoin,16.5,2240.0,4.0,4.0,8.0,16.0,20.0,20.0,20.0
4.0,2.0,26.0,Témoin,18.08,1776.0,0.0,4.0,4.0,12.0,20.0,20.0,24.0
4.0,3.0,31.0,Témoin,16.46,1808.0,8.0,8.0,8.0,12.0,12.0,12.0,16.0
4.0,4.0,16.0,Témoin,16.54,3552.0,4.0,12.0,20.0,28.0,28.0,28.0,32.0
4.0,2.0,36.0,Témoin,18.02,2416.0,4.0,12.0,12.0,16.0,16.0,24.0,32.0
4.0,2.0,26.0,Témoin,20.33,160.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0
4.0,3.0,31.0,Témoin,15.5,2720.0,12.0,12.0,12.0,12.0,12.0,20.0,20.0
4.0,2.0,36.0,Témoin,17.11,4248.0,4.0,8.0,16.0,28.0,36.0,36.0,36.0
4.0,4.0,46.0,Témoin,15.22,4248.0,12.0,20.0,28.0,32.0,36.0,36.0,36.0
3.0,1.0,14.0,803,17.0,2352.0,0.0,4.0,16.0,20.0,20.0,24.0,24.0
3.0,1.0,32.0,803,16.55,3048.0,8.0,8.0,16.0,24.0,28.0,28.0,28.0
3.0,1.0,25.0,803,16.07,5776.0,20.0,24.0,32.0,36.0,40.0,44.0,48.0
4.0,4.0,44.0,803,17.77,2544.0,4.0,12.0,16.0,16.0,20.0,20.0,32.0
4.0,4.0,41.0,803,17.33,2880.0,0.0,4.0,12.0,20.0,32.0,32.0,32.0
3.0,1.0,26.0,803,16.2,6560.0,8.0,28.0,32.0,40.0,52.0,56.0,56.0
4.0,4.0,43.0,803,16.7,4208.0,8.0,16.0,24.0,28.0,36.0,40.0,40.0
4.0,1.0,23.0,803,18.52,1720.0,4.0,4.0,8.0,12.0,12.0,16.0,28.0
3.0,3.0,12.0,803,16.29,5520.0,20.0,24.0,28.0,36.0,44.0,44.0,48.0
4.0,2.0,41.0,803,17.0,3920.0,8.0,16.0,20.0,20.0,32.0,32.0,40.0
3.0,4.0,45.0,803,16.57,6064.0,4.0,24.0,44.0,44.0,48.0,56.0,56.0
4.0,4.0,24.0,803,16.0,5856.0,16.0,36.0,40.0,40.0,40.0,48.0,48.0
3.0,3.0,32.0,803,16.47,7088.0,16.0,36.0,44.0,48.0,52.0,60.0,64.0
3.0,2.0,25.0,803,15.76,6648.0,20.0,32.0,44.0,48.0,52.0,52.0,52.0
3.0,4.0,12.0,803,17.43,1752.0,0.0,4.0,12.0,16.0,16.0,16.0,20.0
3.0,2.0,12.0,803,16.3,6432.0,24.0,24.0,28.0,44.0,48.0,56.0,56.0
3.0,4.0,45.0,803,16.71,2936.0,0.0,12.0,20.0,24.0,28.0,28.0,28.0
3.0,1.0,42.0,803,15.92,7432.0,16.0,32.0,52.0,52.0,56.0,60.0,60.0
3.0,4.0,15.0,803,16.93,5584.0,12.0,16.0,28.0,48.0,48.0,52.0,56.0
3.0,2.0,34.0,803,16.17,4248.0,12.0,20.0,20.0,20.0,36.0,36.0,36.0
3.0,4.0,34.0,803,17.31,4352.0,0.0,12.0,24.0,36.0,40.0,44.0,48.0
4.0,3.0,25.0,803,17.36,2504.0,0.0,8.0,16.0,16.0,24.0,28.0,28.0
4.0,4.0,26.0,803,15.78,6112.0,12.0,24.0,40.0,44.0,44.0,48.0,48.0
4.0,3.0,43.0,803,15.17,4544.0,16.0,16.0,20.0,24.0,28.0,28.0,32.0
3.0,1.0,31.0,803,13.83,696.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3.0,2.0,14.0,803,14.74,5480.0,12.0,20.0,32.0,36.0,36.0,36.0,36.0
3.0,3.0,46.0,803,16.45,3112.0,4.0,12.0,20.0,24.0,28.0,28.0,28.0
3.0,3.0,35.0,803,16.0,4392.0,12.0,28.0,28.0,32.0,32.0,32.0,36.0
4.0,3.0,33.0,803,17.58,2688.0,0.0,4.0,12.0,20.0,28.0,32.0,32.0
3.0,1.0,34.0,803,17.13,1896.0,4.0,8.0,8.0,12.0,12.0,20.0,20.0
3.0,2.0,16.0,803,17.02,3120.0,4.0,8.0,16.0,24.0,28.0,28.0,32.0
4.0,2.0,16.0,803,14.89,1784.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0
3.0,4.0,26.0,803,17.11,1144.0,0.0,8.0,8.0,8.0,8.0,12.0,12.0
3.0,4.0,33.0,803,17.26,3304.0,4.0,12.0,16.0,24.0,28.0,32.0,36.0
3.0,3.0,15.0,803,17.44,3848.0,0.0,8.0,16.0,32.0,40.0,44.0,44.0
4.0,2.0,44.0,803,18.22,2472.0,4.0,4.0,8.0,16.0,16.0,24.0,36.0
3.0,3.0,35.0,803,15.98,4896.0,12.0,24.0,36.0,36.0,36.0,40.0,40.0
3.0,1.0,24.0,803,14.38,5152.0,12.0,16.0,24.0,28.0,32.0,32.0,32.0
4.0,2.0,44.0,803,16.11,2864.0,8.0,8.0,12.0,20.0,24.0,24.0,24.0
4.0,1.0,24.0,803,16.1,8136.0,24.0,36.0,48.0,64.0,64.0,64.0,68.0
4.0,3.0,16.0,803,16.81,7392.0,20.0,24.0,40.0,48.0,60.0,60.0,72.0
4.0,1.0,23.0,803,16.13,3808.0,12.0,12.0,20.0,24.0,28.0,28.0,32.0
3.0,2.0,21.0,803,18.61,2616.0,0.0,4.0,4.0,12.0,28.0,40.0,44.0
4.0,2.0,14.0,803,19.17,552.0,0.0,0.0,0.0,4.0,8.0,8.0,12.0
4.0,1.0,22.0,803,16.09,6232.0,12.0,24.0,40.0,48.0,48.0,52.0,52.0
3.0,3.0,13.0,803,17.28,2192.0,4.0,4.0,12.0,12.0,20.0,24.0,24.0
4.0,2.0,12.0,803,16.83,408.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
3.0,2.0,11.0,803,16.79,1648.0,0.0,8.0,12.0,12.0,12.0,16.0,16.0
3.0,2.0,23.0,803,16.1,7648.0,4.0,20.0,48.0,56.0,60.0,64.0,64.0
3.0,1.0,14.0,803,16.84,6104.0,16.0,20.0,28.0,44.0,52.0,52.0,60.0
3.0,1.0,25.0,803,16.47,4432.0,8.0,20.0,24.0,32.0,32.0,36.0,40.0
3.0,2.0,45.0,803,16.08,3840.0,8.0,12.0,20.0,32.0,32.0,32.0,32.0
3.0,1.0,21.0,803,15.6,6840.0,24.0,32.0,36.0,44.0,44.0,48.0,52.0
4.0,1.0,26.0,803,17.22,3712.0,4.0,12.0,20.0,32.0,32.0,36.0,40.0
4.0,4.0,16.0,803,16.68,5072.0,16.0,20.0,24.0,32.0,44.0,48.0,48.0
3.0,2.0,44.0,803,15.19,4528.0,12.0,28.0,28.0,28.0,32.0,32.0,32.0
4.0,1.0,31.0,803,15.92,3968.0,12.0,20.0,28.0,28.0,32.0,32.0,32.0
3.0,4.0,44.0,803,14.98,11728.0,40.0,64.0,76.0,80.0,80.0,80.0,80.0
4.0,3.0,21.0,803,14.84,9584.0,32.0,52.0,52.0,56.0,64.0,64.0,64.0
3.0,2.0,46.0,803,15.55,5848.0,16.0,32.0,36.0,44.0,44.0,44.0,44.0
4.0,3.0,41.0,803,15.92,6944.0,12.0,32.0,40.0,56.0,56.0,56.0,56.0
3.0,1.0,44.0,803,15.59,4744.0,20.0,24.0,28.0,28.0,32.0,32.0,36.0
3.0,1.0,22.0,803,15.38,8216.0,28.0,36.0,56.0,56.0,60.0,60.0,60.0
4.0,4.0,41.0,803,16.06,8672.0,32.0,40.0,52.0,56.0,60.0,64.0,72.0
4.0,2.0,13.0,803,16.81,5336.0,0.0,16.0,36.0,44.0,44.0,52.0,52.0
3.0,3.0,23.0,803,16.01,8280.0,24.0,36.0,48.0,56.0,64.0,68.0,68.0
4.0,4.0,12.0,803,16.9,6432.0,12.0,20.0,44.0,48.0,56.0,60.0,64.0
4.0,2.0,42.0,803,16.64,6392.0,8.0,24.0,40.0,48.0,56.0,60.0,60.0
4.0,3.0,31.0,803,15.52,4272.0,12.0,12.0,20.0,28.0,28.0,32.0,32.0
4.0,3.0,35.0,803,13.04,3088.0,8.0,12.0,12.0,12.0,12.0,16.0,16.0
4.0,1.0,31.0,803,17.46,4176.0,4.0,16.0,24.0,32.0,32.0,44.0,48.0
3.0,2.0,31.0,803,16.9,5224.0,4.0,12.0,28.0,40.0,48.0,52.0,52.0
4.0,2.0,33.0,803,18.06,872.0,0.0,0.0,0.0,8.0,8.0,12.0,12.0
3.0,1.0,42.0,803,16.42,3584.0,4.0,12.0,24.0,28.0,32.0,32.0,32.0
4.0,3.0,24.0,803,17.64,1984.0,0.0,4.0,12.0,16.0,20.0,20.0,24.0
3.0,4.0,23.0,803,16.4,6288.0,12.0,16.0,32.0,44.0,48.0,52.0,56.0
3.0,3.0,25.0,803,15.56,7960.0,24.0,40.0,40.0,52.0,60.0,60.0,60.0
4.0,2.0,45.0,803,16.71,4616.0,8.0,12.0,20.0,24.0,32.0,44.0,44.0
3.0,1.0,15.0,803,16.36,5440.0,16.0,20.0,36.0,40.0,44.0,48.0,48.0
3.0,2.0,13.0,803,16.24,3256.0,4.0,8.0,24.0,28.0,28.0,28.0,28.0
4.0,3.0,42.0,803,15.54,7456.0,16.0,28.0,40.0,48.0,52.0,56.0,56.0
4.0,4.0,24.0,803,16.17,6608.0,16.0,32.0,40.0,44.0,44.0,56.0,56.0
3.0,4.0,25.0,803,16.83,4488.0,8.0,12.0,20.0,32.0,36.0,44.0,44.0
3.0,3.0,36.0,803,15.89,7984.0,20.0,32.0,44.0,52.0,56.0,60.0,64.0
3.0,1.0,43.0,803,15.31,4984.0,12.0,28.0,32.0,36.0,36.0,36.0,36.0
3.0,1.0,33.0,803,17.1,1912.0,4.0,4.0,8.0,12.0,20.0,20.0,20.0
3.0,2.0,26.0,803,15.53,5864.0,12.0,24.0,32.0,40.0,40.0,44.0,44.0
4.0,3.0,22.0,803,17.08,3072.0,0.0,8.0,16.0,24.0,32.0,32.0,32.0
3.0,3.0,41.0,803,14.35,7760.0,36.0,44.0,48.0,48.0,48.0,48.0,48.0
4.0,4.0,24.0,803,17.08,2304.0,4.0,4.0,12.0,20.0,24.0,24.0,24.0
3.0,3.0,25.0,803,15.0,8176.0,28.0,40.0,48.0,56.0,56.0,56.0,56.0
3.0,2.0,21.0,803,16.56,6944.0,16.0,28.0,36.0,52.0,56.0,64.0,64.0
3.0,3.0,24.0,803,15.71,6712.0,12.0,32.0,40.0,52.0,52.0,52.0,52.0
3.0,3.0,42.0,803,16.35,3632.0,8.0,12.0,16.0,24.0,28.0,32.0,32.0
3.0,2.0,41.0,803,16.65,3832.0,12.0,12.0,20.0,24.0,28.0,28.0,36.0
4.0,2.0,25.0,803,19.17,184.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
4.0,4.0,34.0,803,17.32,4336.0,16.0,16.0,20.0,28.0,32.0,40.0,48.0
3.0,1.0,16.0,803,15.89,5984.0,12.0,28.0,40.0,44.0,48.0,48.0,48.0
4.0,3.0,25.0,803,16.52,3504.0,0.0,12.0,24.0,28.0,32.0,32.0,32.0
3.0,1.0,14.0,803,15.82,5056.0,20.0,28.0,32.0,36.0,36.0,36.0,40.0
4.0,4.0,31.0,803,15.95,3448.0,16.0,16.0,16.0,20.0,28.0,28.0,28.0
4.0,3.0,26.0,803,16.42,4920.0,12.0,24.0,28.0,32.0,40.0,44.0,44.0
3.0,4.0,32.0,803,14.96,5288.0,20.0,24.0,32.0,32.0,36.0,36.0,36.0
3.0,1.0,35.0,803,15.11,3440.0,4.0,20.0,24.0,24.0,24.0,24.0,24.0
3.0,4.0,16.0,803,15.38,7664.0,32.0,40.0,48.0,48.0,48.0,52.0,56.0
4.0,3.0,26.0,803,15.61,9976.0,32.0,44.0,68.0,76.0,76.0,76.0,76.0
4.0,2.0,21.0,803,15.54,4256.0,16.0,20.0,24.0,28.0,32.0,32.0,32.0
4.0,2.0,45.0,803,17.24,4432.0,4.0,12.0,24.0,32.0,36.0,40.0,48.0
3.0,3.0,45.0,803,16.63,5984.0,12.0,24.0,36.0,40.0,48.0,52.0,56.0
3.0,2.0,32.0,803,16.1,4784.0,20.0,28.0,28.0,32.0,32.0,36.0,40.0
3.0,3.0,43.0,803,15.71,7216.0,20.0,28.0,48.0,52.0,56.0,56.0,56.0
4.0,4.0,13.0,803,17.74,5136.0,8.0,12.0,16.0,36.0,48.0,60.0,64.0
4.0,2.0,41.0,803,15.27,7808.0,20.0,28.0,44.0,52.0,56.0,56.0,56.0
4.0,4.0,34.0,803,15.86,8520.0,28.0,44.0,52.0,60.0,64.0,64.0,68.0
3.0,4.0,22.0,803,16.06,9648.0,20.0,36.0,56.0,60.0,68.0,76.0,80.0
4.0,3.0,23.0,803,15.38,10408.0,40.0,44.0,56.0,64.0,68.0,76.0,76.0
4.0,3.0,13.0,803,16.36,2720.0,4.0,12.0,12.0,20.0,24.0,24.0,24.0
3.0,4.0,43.0,803,17.14,4544.0,4.0,12.0,20.0,36.0,40.0,44.0,48.0
3.0,2.0,21.0,803,16.5,3080.0,8.0,16.0,16.0,24.0,28.0,28.0,28.0
4.0,4.0,25.0,803,17.97,2992.0,0.0,12.0,16.0,16.0,24.0,36.0,40.0
3.0,3.0,26.0,803,15.98,3920.0,16.0,16.0,20.0,20.0,32.0,32.0,32.0
4.0,3.0,15.0,803,16.23,4656.0,8.0,20.0,28.0,32.0,40.0,40.0,40.0
3.0,3.0,45.0,803,15.23,12368.0,40.0,64.0,84.0,88.0,88.0,88.0,88.0
4.0,3.0,41.0,803,14.76,10312.0,36.0,48.0,60.0,64.0,64.0,68.0,68.0
4.0,3.0,36.0,803,16.83,3264.0,8.0,12.0,20.0,20.0,28.0,28.0,32.0
4.0,1.0,15.0,803,16.9,4016.0,4.0,16.0,24.0,28.0,32.0,36.0,40.0
4.0,1.0,16.0,803,15.45,5408.0,16.0,24.0,32.0,36.0,40.0,40.0,40.0
4.0,1.0,46.0,803,16.27,2312.0,0.0,8.0,16.0,20.0,20.0,20.0,20.0
3.0,4.0,41.0,803,15.17,4544.0,16.0,20.0,20.0,24.0,28.0,28.0,32.0
4.0,3.0,34.0,803,17.58,1344.0,0.0,0.0,4.0,12.0,16.0,16.0,16.0
3.0,1.0,11.0,803,16.17,5192.0,20.0,20.0,24.0,32.0,36.0,44.0,44.0
4.0,4.0,45.0,803,17.19,2240.0,4.0,8.0,8.0,16.0,20.0,24.0,24.0
3.0,1.0,43.0,803,16.11,5256.0,20.0,20.0,32.0,36.0,40.0,44.0,44.0
4.0,4.0,42.0,803,17.43,2456.0,0.0,8.0,16.0,16.0,20.0,24.0,28.0
3.0,1.0,13.0,803,15.12,8016.0,28.0,44.0,48.0,52.0,56.0,56.0,56.0
3.0,4.0,24.0,803,16.44,4008.0,12.0,16.0,24.0,28.0,28.0,36.0,36.0
3.0,2.0,43.0,803,16.76,4568.0,12.0,24.0,28.0,32.0,36.0,36.0,44.0
3.0,4.0,41.0,803,15.77,5104.0,12.0,20.0,28.0,40.0,40.0,40.0,40.0
3.0,2.0,33.0,803,15.48,7536.0,32.0,44.0,48.0,48.0,52.0,56.0,56.0
4.0,4.0,35.0,803,16.33,5928.0,8.0,24.0,36.0,44.0,52.0,52.0,52.0
4.0,1.0,22.0,803,16.22,7000.0,12.0,32.0,36.0,52.0,52.0,56.0,60.0
3.0,3.0,13.0,803,15.48,8072.0,32.0,44.0,48.0,52.0,56.0,60.0,60.0
3.0,1.0,46.0,803,16.86,2840.0,8.0,12.0,20.0,20.0,24.0,24.0,28.0
3.0,4.0,11.0,803,17.28,2192.0,0.0,4.0,16.0,16.0,24.0,24.0,24.0
3.0,3.0,23.0,803,16.65,5952.0,8.0,20.0,36.0,44.0,56.0,56.0,56.0
3.0,4.0,15.0,803,15.36,6040.0,16.0,28.0,32.0,32.0,40.0,44.0,44.0
4.0,1.0,12.0,803,15.06,6360.0,16.0,28.0,40.0,44.0,44.0,44.0,44.0
4.0,2.0,31.0,803,15.52,5880.0,24.0,36.0,36.0,40.0,44.0,44.0,44.0
3.0,3.0,33.0,803,15.82,7072.0,28.0,36.0,44.0,48.0,52.0,52.0,56.0
4.0,4.0,32.0,803,16.04,7256.0,12.0,32.0,44.0,56.0,56.0,60.0,60.0
3.0,4.0,25.0,803,16.47,7528.0,16.0,32.0,36.0,40.0,56.0,60.0,68.0
4.0,2.0,15.0,803,16.84,6104.0,4.0,20.0,28.0,52.0,56.0,60.0,60.0
3.0,1.0,21.0,803,15.29,4448.0,8.0,20.0,28.0,28.0,28.0,32.0,32.0
3.0,2.0,22.0,803,16.33,5928.0,12.0,20.0,36.0,48.0,48.0,52.0,52.0
3.0,3.0,32.0,803,16.53,5248.0,12.0,24.0,28.0,32.0,40.0,48.0,48.0
3.0,4.0,23.0,803,16.18,6592.0,24.0,24.0,44.0,44.0,48.0,52.0,56.0
4.0,4.0,44.0,803,15.35,9352.0,40.0,44.0,56.0,56.0,60.0,64.0,68.0
3.0,2.0,31.0,803,15.27,8376.0,20.0,40.0,48.0,52.0,56.0,56.0,60.0
3.0,2.0,36.0,803,17.01,4688.0,4.0,8.0,32.0,36.0,36.0,40.0,48.0
3.0,4.0,31.0,803,16.67,6360.0,20.0,28.0,36.0,44.0,52.0,52.0,60.0
3.0,3.0,33.0,803,15.73,5136.0,16.0,20.0,32.0,36.0,40.0,40.0,40.0
4.0,4.0,13.0,803,16.24,3256.0,8.0,12.0,16.0,28.0,28.0,28.0,28.0
4.0,4.0,34.0,803,17.67,2952.0,0.0,8.0,20.0,24.0,28.0,28.0,36.0
3.0,4.0,13.0,803,15.48,8608.0,32.0,44.0,52.0,60.0,64.0,64.0,64.0
4.0,3.0,15.0,803,15.08,9216.0,28.0,52.0,56.0,56.0,64.0,64.0,64.0
4.0,3.0,22.0,803,15.69,3104.0,8.0,16.0,20.0,20.0,20.0,20.0,24.0
4.0,1.0,34.0,803,16.41,5832.0,28.0,28.0,28.0,36.0,44.0,52.0,52.0
3.0,4.0,46.0,803,14.75,10344.0,48.0,48.0,60.0,68.0,68.0,68.0,68.0
4.0,3.0,22.0,803,14.84,11384.0,48.0,60.0,68.0,72.0,76.0,76.0,76.0
4.0,3.0,14.0,803,18.05,2040.0,0.0,4.0,12.0,12.0,16.0,24.0,28.0
3.0,2.0,23.0,803,15.55,5312.0,16.0,32.0,36.0,36.0,40.0,40.0,40.0
4.0,2.0,32.0,803,15.29,7224.0,20.0,20.0,36.0,48.0,52.0,52.0,52.0
3.0,3.0,23.0,803,15.47,5928.0,20.0,24.0,32.0,36.0,36.0,44.0,44.0
3.0,4.0,31.0,803,15.9,3480.0,8.0,12.0,24.0,24.0,28.0,28.0,28.0
4.0,4.0,11.0,803,16.0,1952.0,8.0,8.0,12.0,12.0,16.0,16.0,16.0
4.0,1.0,41.0,803,16.92,2400.0,4.0,4.0,12.0,16.0,20.0,24.0,24.0
3.0,2.0,43.0,803,14.54,7536.0,32.0,44.0,44.0,48.0,48.0,48.0,48.0
3.0,3.0,16.0,803,15.86,3008.0,8.0,12.0,20.0,20.0,24.0,24.0,24.0
3.0,4.0,24.0,803,16.71,2936.0,8.0,16.0,20.0,20.0,20.0,24.0,28.0
3.0,2.0,14.0,803,17.5,2408.0,4.0,8.0,8.0,12.0,24.0,28.0,28.0
3.0,2.0,36.0,803,15.8,5072.0,8.0,20.0,32.0,40.0,40.0,40.0,40.0
3.0,2.0,26.0,803,15.36,10440.0,36.0,56.0,64.0,72.0,72.0,76.0,76.0
4.0,3.0,14.0,803,15.98,10296.0,24.0,44.0,68.0,72.0,76.0,80.0,84.0
4.0,2.0,43.0,803,16.85,3656.0,8.0,12.0,16.0,20.0,36.0,36.0,36.0
3.0,4.0,12.0,803,15.02,10480.0,32.0,48.0,60.0,60.0,64.0,72.0,72.0
4.0,3.0,32.0,803,15.32,9400.0,24.0,60.0,60.0,64.0,68.0,68.0,68.0
4.0,1.0,13.0,803,15.6,3688.0,8.0,12.0,20.0,28.0,28.0,28.0,28.0
4.0,2.0,13.0,803,18.58,2400.0,0.0,0.0,4.0,12.0,24.0,40.0,40.0
3.0,1.0,22.0,803,16.57,3032.0,0.0,12.0,20.0,24.0,28.0,28.0,28.0
4.0,4.0,41.0,803,17.37,3568.0,4.0,16.0,20.0,24.0,32.0,40.0,40.0
4.0,1.0,45.0,803,17.12,2664.0,8.0,8.0,12.0,16.0,24.0,28.0,28.0
3.0,1.0,23.0,803,16.47,2216.0,8.0,8.0,16.0,16.0,16.0,16.0,20.0
3.0,4.0,42.0,803,15.67,2080.0,4.0,12.0,12.0,16.0,16.0,16.0,16.0
3.0,1.0,36.0,803,16.76,5400.0,12.0,28.0,28.0,36.0,44.0,44.0,52.0
4.0,2.0,24.0,803,18.22,2752.0,0.0,8.0,8.0,16.0,28.0,36.0,40.0
3.0,1.0,16.0,803,15.6,3688.0,12.0,20.0,20.0,20.0,24.0,28.0,28.0
3.0,1.0,15.0,803,14.63,4960.0,16.0,28.0,28.0,28.0,28.0,32.0,32.0
3.0,3.0,46.0,803,17.92,1216.0,0.0,0.0,4.0,8.0,16.0,16.0,16.0
3.0,2.0,24.0,803,17.23,5184.0,4.0,20.0,24.0,32.0,48.0,56.0,56.0
4.0,1.0,21.0,803,14.74,12792.0,32.0,44.0,60.0,72.0,76.0,84.0,84.0
4.0,3.0,42.0,803,13.98,13632.0,56.0,56.0,72.0,76.0,76.0,76.0,80.0
4.0,3.0,35.0,803,16.92,7200.0,8.0,32.0,40.0,56.0,60.0,64.0,72.0
