Bancs,camera,zone,Pop,5_degres_C_TMG_j,Aire_sous_la_courbe,15_j,16_j,17_j,18_j,19_j,20_j,21_j
4.0,2.0,35.0,803,16.86,5680.0,12.0,16.0,24.0,36.0,44.0,56.0,56.0
3.0,1.0,23.0,803,16.19,7520.0,16.0,28.0,40.0,56.0,64.0,64.0,64.0
3.0,3.0,43.0,803,16.18,7536.0,20.0,28.0,36.0,52.0,60.0,64.0,64.0
4.0,2.0,23.0,803,17.49,6896.0,4.0,16.0,32.0,56.0,64.0,72.0,80.0
3.0,1.0,13.0,803,15.75,10744.0,44.0,52.0,60.0,64.0,72.0,80.0,84.0
4.0,3.0,25.0,803,15.78,8648.0,24.0,40.0,60.0,64.0,64.0,64.0,68.0
3.0,2.0,12.0,803,15.27,7256.0,16.0,32.0,36.0,48.0,52.0,52.0,52.0
3.0,1.0,26.0,803,14.26,9832.0,32.0,40.0,52.0,56.0,60.0,60.0,60.0
3.0,2.0,13.0,803,14.46,8896.0,28.0,48.0,56.0,56.0,56.0,56.0,56.0
4.0,4.0,12.0,803,15.81,8096.0,16.0,36.0,56.0,60.0,64.0,64.0,64.0
4.0,1.0,34.0,803,18.15,4792.0,0.0,12.0,24.0,36.0,44.0,52.0,68.0
3.0,2.0,33.0,803,15.27,9480.0,24.0,32.0,44.0,64.0,64.0,64.0,68.0
4.0,4.0,25.0,803,16.45,8456.0,16.0,32.0,36.0,68.0,76.0,76.0,76.0
3.0,2.0,41.0,803,16.31,8256.0,24.0,32.0,52.0,64.0,64.0,72.0,72.0
4.0,4.0,42.0,803,17.38,4616.0,12.0,16.0,24.0,32.0,36.0,44.0,52.0
3.0,1.0,46.0,803,15.6,7896.0,28.0,36.0,48.0,52.0,56.0,56.0,60.0
4.0,2.0,33.0,803,16.91,7216.0,12.0,24.0,28.0,44.0,60.0,72.0,72.0
3.0,2.0,46.0,803,15.68,10888.0,28.0,48.0,56.0,80.0,84.0,84.0,84.0
4.0,4.0,22.0,803,15.74,10776.0,40.0,52.0,72.0,76.0,84.0,84.0,84.0
3.0,1.0,35.0,803,15.58,10560.0,28.0,52.0,64.0,76.0,80.0,80.0,80.0
4.0,3.0,24.0,803,16.5,7920.0,20.0,36.0,44.0,60.0,68.0,68.0,72.0
4.0,1.0,33.0,830,15.41,8720.0,28.0,36.0,48.0,52.0,64.0,64.0,64.0
3.0,1.0,33.0,830,16.47,7528.0,16.0,24.0,36.0,52.0,52.0,64.0,68.0
4.0,2.0,13.0,830,15.36,7696.0,36.0,40.0,48.0,52.0,52.0,52.0,56.0
3.0,1.0,13.0,830,15.7,8792.0,36.0,40.0,44.0,52.0,60.0,68.0,68.0
4.0,4.0,15.0,830,15.76,9704.0,32.0,48.0,60.0,64.0,72.0,76.0,76.0
4.0,3.0,14.0,830,14.97,9392.0,32.0,52.0,56.0,60.0,60.0,64.0,64.0
4.0,4.0,16.0,830,15.54,9584.0,32.0,40.0,60.0,68.0,72.0,72.0,72.0
3.0,3.0,24.0,830,15.89,6976.0,16.0,28.0,36.0,56.0,56.0,56.0,56.0
3.0,4.0,42.0,830,15.85,6536.0,24.0,24.0,36.0,40.0,48.0,52.0,52.0
3.0,4.0,23.0,830,14.8,9648.0,40.0,52.0,56.0,60.0,60.0,64.0,64.0
3.0,4.0,44.0,830,16.31,5504.0,12.0,28.0,36.0,40.0,44.0,44.0,48.0
3.0,4.0,34.0,830,17.23,5544.0,12.0,16.0,24.0,40.0,48.0,52.0,60.0
3.0,4.0,13.0,830,17.18,4120.0,4.0,16.0,20.0,24.0,40.0,44.0,44.0
4.0,4.0,33.0,830,15.93,8912.0,24.0,48.0,56.0,60.0,64.0,64.0,72.0
3.0,3.0,45.0,830,15.46,7552.0,20.0,32.0,44.0,48.0,52.0,56.0,56.0
4.0,1.0,35.0,830,15.9,6472.0,28.0,32.0,40.0,44.0,52.0,52.0,52.0
3.0,4.0,41.0,830,17.48,4848.0,8.0,16.0,24.0,36.0,44.0,48.0,56.0
4.0,3.0,22.0,830,16.46,6208.0,8.0,28.0,36.0,48.0,48.0,56.0,56.0
3.0,4.0,33.0,830,14.33,9072.0,28.0,44.0,48.0,52.0,56.0,56.0,56.0
3.0,3.0,26.0,830,15.04,6960.0,28.0,32.0,36.0,48.0,48.0,48.0,48.0
4.0,3.0,16.0,830,13.52,10888.0,36.0,44.0,48.0,56.0,60.0,60.0,60.0
3.0,1.0,43.0,830,14.79,9064.0,36.0,40.0,52.0,52.0,56.0,56.0,60.0
4.0,1.0,31.0,830,13.34,11888.0,48.0,48.0,52.0,52.0,60.0,60.0,64.0
3.0,3.0,15.0,830,13.4,10320.0,40.0,40.0,40.0,44.0,48.0,56.0,56.0
3.0,1.0,26.0,830,14.85,8384.0,24.0,32.0,40.0,44.0,52.0,52.0,56.0
4.0,3.0,45.0,830,13.64,10712.0,40.0,40.0,44.0,48.0,48.0,56.0,60.0
4.0,3.0,44.0,830,12.36,13392.0,52.0,52.0,60.0,64.0,64.0,64.0,64.0
3.0,3.0,32.0,830,13.7,10632.0,36.0,44.0,52.0,52.0,52.0,60.0,60.0
4.0,3.0,35.0,830,15.02,9896.0,20.0,48.0,52.0,56.0,64.0,68.0,68.0
4.0,1.0,34.0,830,14.95,6472.0,20.0,28.0,32.0,44.0,44.0,44.0,44.0
3.0,1.0,24.0,830,15.19,8488.0,28.0,36.0,48.0,52.0,56.0,60.0,60.0
3.0,4.0,45.0,830,15.37,7680.0,20.0,36.0,40.0,48.0,52.0,52.0,56.0
3.0,3.0,34.0,830,18.21,4136.0,0.0,8.0,20.0,36.0,40.0,44.0,60.0
3.0,2.0,16.0,830,14.8,8448.0,28.0,48.0,52.0,52.0,56.0,56.0,56.0
4.0,1.0,22.0,830,16.83,3264.0,8.0,8.0,16.0,28.0,32.0,32.0,32.0
4.0,1.0,12.0,830,16.88,8080.0,16.0,32.0,48.0,60.0,68.0,76.0,80.0
4.0,1.0,16.0,830,16.1,6704.0,12.0,32.0,48.0,52.0,52.0,52.0,56.0
3.0,1.0,42.0,830,15.82,7072.0,16.0,32.0,44.0,52.0,52.0,56.0,56.0
3.0,4.0,21.0,830,17.09,4984.0,12.0,20.0,28.0,36.0,40.0,44.0,52.0
4.0,2.0,31.0,830,15.53,10136.0,44.0,48.0,52.0,64.0,76.0,76.0,76.0
3.0,3.0,25.0,830,16.01,6328.0,12.0,28.0,36.0,44.0,52.0,52.0,52.0
4.0,3.0,36.0,830,14.52,10712.0,48.0,56.0,60.0,68.0,68.0,68.0,68.0
4.0,2.0,15.0,830,15.53,10136.0,36.0,40.0,56.0,64.0,72.0,76.0,76.0
4.0,1.0,32.0,830,15.24,10664.0,36.0,56.0,64.0,68.0,72.0,72.0,76.0
4.0,3.0,21.0,830,15.88,6000.0,8.0,24.0,28.0,40.0,44.0,44.0,48.0
3.0,3.0,36.0,830,16.93,3984.0,4.0,12.0,28.0,28.0,32.0,40.0,40.0
4.0,2.0,16.0,830,14.49,10128.0,32.0,52.0,56.0,60.0,64.0,64.0,64.0
4.0,4.0,12.0,830,15.86,7528.0,28.0,28.0,28.0,40.0,52.0,52.0,60.0
3.0,1.0,16.0,830,14.57,8752.0,32.0,40.0,48.0,56.0,56.0,56.0,56.0
3.0,1.0,41.0,830,15.58,8984.0,32.0,40.0,48.0,56.0,60.0,68.0,68.0
4.0,3.0,41.0,830,14.89,8320.0,32.0,36.0,44.0,52.0,52.0,52.0,56.0
4.0,2.0,24.0,830,15.41,9808.0,32.0,56.0,60.0,64.0,64.0,68.0,72.0
3.0,3.0,42.0,830,15.3,10552.0,24.0,40.0,64.0,72.0,76.0,76.0,76.0
3.0,3.0,11.0,830,15.86,7024.0,20.0,28.0,44.0,48.0,56.0,56.0,56.0
4.0,1.0,14.0,830,16.28,6920.0,24.0,28.0,36.0,52.0,52.0,52.0,60.0
4.0,4.0,36.0,830,15.81,7592.0,28.0,40.0,44.0,48.0,60.0,60.0,60.0
3.0,4.0,35.0,830,16.42,5816.0,12.0,24.0,32.0,36.0,44.0,48.0,52.0
3.0,1.0,25.0,830,16.34,6824.0,12.0,24.0,32.0,44.0,52.0,52.0,60.0
4.0,2.0,12.0,830,15.65,9912.0,28.0,48.0,60.0,64.0,72.0,76.0,76.0
3.0,2.0,25.0,830,15.73,5656.0,12.0,24.0,40.0,44.0,44.0,44.0,44.0
4.0,2.0,22.0,830,15.1,9768.0,36.0,60.0,64.0,64.0,68.0,68.0,68.0
3.0,2.0,44.0,830,15.21,9024.0,32.0,36.0,48.0,60.0,60.0,60.0,64.0
3.0,1.0,32.0,830,15.86,6520.0,20.0,28.0,36.0,44.0,44.0,48.0,52.0
3.0,1.0,45.0,830,16.27,6936.0,20.0,32.0,44.0,52.0,56.0,56.0,60.0
4.0,4.0,34.0,830,15.74,9752.0,24.0,36.0,44.0,72.0,72.0,76.0,76.0
4.0,4.0,35.0,830,15.36,7144.0,36.0,36.0,48.0,48.0,52.0,52.0,52.0
3.0,2.0,14.0,830,15.89,9464.0,24.0,44.0,60.0,68.0,72.0,76.0,76.0
4.0,2.0,41.0,830,14.83,7800.0,24.0,44.0,48.0,48.0,48.0,52.0,52.0
4.0,2.0,46.0,830,15.36,7696.0,28.0,36.0,48.0,48.0,48.0,56.0,56.0
4.0,4.0,41.0,830,15.94,9384.0,28.0,44.0,52.0,64.0,68.0,68.0,76.0
4.0,2.0,43.0,830,16.05,9176.0,24.0,48.0,56.0,64.0,68.0,76.0,76.0
4.0,3.0,13.0,830,16.2,7032.0,12.0,28.0,40.0,44.0,56.0,60.0,60.0
3.0,4.0,14.0,830,14.6,8720.0,36.0,40.0,52.0,52.0,52.0,56.0,56.0
3.0,1.0,31.0,830,15.72,9264.0,20.0,48.0,56.0,64.0,64.0,64.0,72.0
4.0,4.0,42.0,830,15.68,10888.0,36.0,56.0,64.0,76.0,76.0,76.0,84.0
3.0,2.0,45.0,830,15.72,5152.0,16.0,20.0,32.0,32.0,36.0,40.0,40.0
4.0,1.0,15.0,830,15.02,10480.0,40.0,52.0,68.0,72.0,72.0,72.0,72.0
4.0,1.0,11.0,830,13.38,11840.0,52.0,52.0,60.0,60.0,60.0,60.0,64.0
4.0,2.0,23.0,830,16.1,3352.0,8.0,12.0,20.0,24.0,28.0,28.0,28.0
3.0,3.0,35.0,830,16.41,5832.0,20.0,28.0,32.0,32.0,40.0,48.0,52.0
4.0,3.0,15.0,830,14.47,9528.0,36.0,40.0,48.0,52.0,56.0,60.0,60.0
4.0,2.0,32.0,830,15.54,10640.0,28.0,52.0,68.0,72.0,76.0,76.0,80.0
4.0,1.0,46.0,830,16.32,6856.0,16.0,28.0,44.0,56.0,60.0,60.0,60.0
3.0,2.0,35.0,830,15.02,8144.0,32.0,36.0,40.0,48.0,56.0,56.0,56.0
4.0,1.0,24.0,830,15.03,11632.0,32.0,60.0,68.0,72.0,72.0,76.0,80.0
3.0,2.0,26.0,830,13.47,12424.0,52.0,60.0,64.0,64.0,68.0,68.0,68.0
4.0,3.0,23.0,830,14.88,8936.0,40.0,56.0,56.0,60.0,60.0,60.0,60.0
4.0,4.0,24.0,830,16.31,6872.0,16.0,28.0,40.0,48.0,52.0,60.0,60.0
4.0,3.0,32.0,830,15.44,10296.0,44.0,52.0,64.0,68.0,68.0,72.0,76.0
3.0,2.0,36.0,830,15.04,10448.0,36.0,56.0,60.0,72.0,72.0,72.0,72.0
4.0,4.0,26.0,830,16.6,9048.0,4.0,32.0,56.0,72.0,80.0,80.0,84.0
3.0,4.0,32.0,830,15.2,10160.0,40.0,52.0,52.0,56.0,64.0,68.0,72.0
4.0,2.0,26.0,830,14.78,10280.0,36.0,48.0,56.0,64.0,68.0,68.0,68.0
4.0,1.0,36.0,830,15.16,9672.0,28.0,40.0,44.0,64.0,68.0,68.0,68.0
4.0,2.0,11.0,830,16.28,8760.0,20.0,44.0,52.0,56.0,64.0,76.0,76.0
3.0,4.0,31.0,830,15.92,10912.0,36.0,52.0,64.0,72.0,80.0,84.0,88.0
4.0,1.0,26.0,830,14.58,13728.0,48.0,68.0,80.0,84.0,88.0,88.0,88.0
4.0,1.0,42.0,830,15.82,10112.0,32.0,40.0,52.0,72.0,76.0,80.0,80.0
4.0,3.0,46.0,830,14.38,10304.0,40.0,48.0,56.0,60.0,64.0,64.0,64.0
3.0,2.0,34.0,830,15.63,6288.0,24.0,36.0,44.0,48.0,48.0,48.0,48.0
4.0,1.0,25.0,830,16.09,8152.0,24.0,32.0,48.0,64.0,64.0,68.0,68.0
4.0,4.0,21.0,830,15.58,8984.0,28.0,52.0,56.0,56.0,60.0,64.0,68.0
3.0,3.0,46.0,830,15.92,8928.0,32.0,40.0,56.0,64.0,64.0,68.0,72.0
3.0,3.0,23.0,830,16.26,8336.0,16.0,28.0,48.0,64.0,68.0,68.0,72.0
4.0,3.0,11.0,830,14.99,9360.0,36.0,44.0,56.0,60.0,60.0,64.0,64.0
4.0,1.0,13.0,830,14.99,11112.0,36.0,56.0,68.0,68.0,72.0,72.0,76.0
4.0,1.0,43.0,830,13.54,11584.0,56.0,60.0,60.0,64.0,64.0,64.0,64.0
3.0,3.0,44.0,830,14.94,8840.0,28.0,48.0,52.0,56.0,56.0,56.0,60.0
3.0,3.0,13.0,830,16.43,4464.0,8.0,16.0,24.0,32.0,36.0,36.0,40.0
4.0,1.0,41.0,830,15.78,9672.0,32.0,36.0,52.0,60.0,68.0,72.0,76.0
3.0,2.0,43.0,830,15.77,9184.0,32.0,40.0,56.0,60.0,64.0,68.0,72.0
4.0,1.0,21.0,830,15.69,9312.0,24.0,44.0,60.0,64.0,64.0,68.0,72.0
3.0,1.0,44.0,830,15.61,9456.0,36.0,48.0,60.0,64.0,68.0,72.0,72.0
4.0,3.0,42.0,830,15.14,10840.0,44.0,64.0,64.0,68.0,72.0,76.0,76.0
3.0,1.0,21.0,830,15.45,8656.0,20.0,44.0,56.0,64.0,64.0,64.0,64.0
4.0,3.0,25.0,830,16.04,7744.0,24.0,36.0,48.0,52.0,56.0,64.0,64.0
3.0,3.0,22.0,830,14.79,8464.0,36.0,48.0,56.0,56.0,56.0,56.0,56.0
4.0,4.0,32.0,830,15.5,9648.0,28.0,52.0,56.0,68.0,68.0,68.0,72.0
4.0,4.0,22.0,830,16.25,9280.0,32.0,48.0,48.0,64.0,68.0,80.0,80.0
3.0,1.0,12.0,830,15.48,7536.0,24.0,40.0,48.0,48.0,52.0,56.0,56.0
3.0,4.0,25.0,830,15.26,9496.0,32.0,48.0,56.0,64.0,68.0,68.0,68.0
3.0,2.0,15.0,830,16.41,7184.0,12.0,28.0,40.0,56.0,60.0,64.0,64.0
4.0,4.0,13.0,830,15.76,8176.0,28.0,44.0,44.0,52.0,56.0,60.0,64.0
4.0,1.0,45.0,830,15.87,10504.0,44.0,52.0,56.0,60.0,72.0,76.0,84.0
3.0,4.0,16.0,830,15.64,9408.0,32.0,36.0,52.0,64.0,72.0,72.0,72.0
3.0,4.0,43.0,830,15.71,11344.0,24.0,48.0,72.0,84.0,88.0,88.0,88.0
4.0,2.0,14.0,830,15.4,11448.0,40.0,52.0,72.0,76.0,80.0,84.0,84.0
3.0,1.0,35.0,830,15.41,11432.0,44.0,60.0,68.0,72.0,80.0,80.0,84.0
4.0,2.0,33.0,830,16.39,9464.0,20.0,40.0,52.0,64.0,76.0,80.0,84.0
3.0,1.0,14.0,830,16.19,8464.0,24.0,32.0,56.0,60.0,68.0,68.0,72.0
3.0,4.0,22.0,830,17.08,4608.0,4.0,16.0,24.0,28.0,40.0,44.0,48.0
4.0,2.0,35.0,830,14.89,8320.0,32.0,52.0,56.0,56.0,56.0,56.0,56.0
4.0,3.0,43.0,830,15.63,10480.0,28.0,56.0,68.0,72.0,80.0,80.0,80.0
3.0,3.0,12.0,830,15.2,9608.0,24.0,36.0,52.0,60.0,60.0,68.0,68.0
4.0,2.0,42.0,830,15.26,10064.0,32.0,52.0,52.0,68.0,72.0,72.0,72.0
3.0,1.0,23.0,830,16.48,8392.0,28.0,36.0,44.0,48.0,72.0,76.0,76.0
4.0,3.0,33.0,830,15.34,9368.0,36.0,56.0,60.0,64.0,68.0,68.0,68.0
4.0,2.0,21.0,830,14.74,12792.0,60.0,72.0,76.0,84.0,84.0,84.0,84.0
4.0,1.0,44.0,830,15.33,11056.0,40.0,56.0,64.0,68.0,76.0,76.0,80.0
4.0,4.0,11.0,830,16.09,11032.0,20.0,60.0,68.0,76.0,84.0,92.0,92.0
4.0,2.0,45.0,830,15.53,12784.0,36.0,60.0,68.0,84.0,88.0,92.0,96.0
3.0,1.0,15.0,830,15.37,12064.0,44.0,68.0,72.0,80.0,84.0,84.0,88.0
4.0,4.0,14.0,830,16.04,10168.0,28.0,44.0,60.0,72.0,80.0,84.0,84.0
4.0,2.0,44.0,830,16.75,7488.0,16.0,36.0,44.0,52.0,56.0,68.0,72.0
3.0,2.0,24.0,830,15.32,10520.0,32.0,56.0,68.0,68.0,68.0,72.0,76.0
3.0,3.0,14.0,830,15.81,11136.0,32.0,56.0,72.0,84.0,88.0,88.0,88.0
3.0,4.0,46.0,830,14.81,13248.0,48.0,76.0,84.0,84.0,84.0,88.0,88.0
3.0,2.0,33.0,830,14.25,10496.0,40.0,44.0,56.0,56.0,64.0,64.0,64.0
3.0,1.0,34.0,830,16.58,8656.0,20.0,32.0,48.0,52.0,72.0,76.0,80.0
3.0,2.0,46.0,830,15.51,10168.0,36.0,48.0,60.0,76.0,76.0,76.0,76.0
3.0,4.0,36.0,830,15.41,10344.0,20.0,44.0,60.0,76.0,76.0,76.0,76.0
4.0,3.0,34.0,830,15.24,11784.0,56.0,64.0,72.0,76.0,80.0,80.0,84.0
3.0,3.0,41.0,830,15.18,10208.0,32.0,40.0,56.0,64.0,68.0,72.0,72.0
3.0,4.0,11.0,830,15.9,8960.0,24.0,40.0,52.0,56.0,64.0,68.0,72.0
3.0,3.0,33.0,830,16.28,8760.0,12.0,32.0,48.0,64.0,68.0,76.0,76.0
3.0,3.0,43.0,830,15.68,8824.0,32.0,44.0,48.0,64.0,68.0,68.0,68.0
3.0,4.0,24.0,830,15.79,9656.0,28.0,44.0,56.0,68.0,72.0,72.0,76.0
3.0,4.0,12.0,830,15.78,8144.0,24.0,40.0,44.0,52.0,60.0,60.0,64.0
4.0,3.0,24.0,830,15.4,10360.0,36.0,52.0,64.0,68.0,68.0,68.0,76.0
3.0,1.0,22.0,830,16.17,7080.0,12.0,20.0,32.0,48.0,60.0,60.0,60.0
3.0,4.0,26.0,830,15.11,8600.0,36.0,48.0,52.0,56.0,56.0,60.0,60.0
4.0,3.0,31.0,830,16.55,9144.0,24.0,32.0,48.0,68.0,80.0,84.0,84.0
4.0,4.0,44.0,830,14.68,11672.0,48.0,64.0,64.0,68.0,68.0,68.0,76.0
4.0,3.0,12.0,830,15.5,9648.0,28.0,44.0,60.0,68.0,72.0,72.0,72.0
4.0,4.0,43.0,830,15.52,11208.0,48.0,52.0,60.0,68.0,68.0,68.0,84.0
4.0,1.0,23.0,830,14.6,11200.0,56.0,56.0,60.0,64.0,64.0,72.0,72.0
4.0,3.0,26.0,830,15.53,6400.0,20.0,28.0,40.0,40.0,40.0,44.0,48.0
3.0,3.0,21.0,830,15.04,12184.0,44.0,68.0,76.0,76.0,80.0,80.0,84.0
4.0,4.0,45.0,830,15.45,7568.0,36.0,36.0,40.0,48.0,48.0,52.0,56.0
3.0,4.0,15.0,830,15.83,8064.0,24.0,32.0,44.0,44.0,56.0,60.0,64.0
3.0,3.0,16.0,830,14.29,9136.0,36.0,44.0,44.0,48.0,52.0,56.0,56.0
4.0,4.0,25.0,830,15.73,10288.0,40.0,44.0,56.0,72.0,72.0,72.0,80.0
4.0,2.0,25.0,830,16.15,10416.0,28.0,44.0,64.0,72.0,76.0,84.0,88.0
4.0,4.0,23.0,830,16.83,8160.0,16.0,28.0,52.0,60.0,64.0,72.0,80.0
4.0,2.0,34.0,830,16.3,7800.0,12.0,28.0,52.0,60.0,64.0,64.0,68.0
4.0,4.0,31.0,830,15.71,10840.0,32.0,60.0,76.0,76.0,80.0,80.0,84.0
4.0,1.0,14.0,802,16.65,4680.0,8.0,20.0,28.0,36.0,36.0,40.0,44.0
4.0,1.0,35.0,802,17.58,3360.0,4.0,8.0,16.0,20.0,32.0,36.0,40.0
3.0,4.0,32.0,802,18.04,2336.0,0.0,4.0,8.0,20.0,20.0,24.0,32.0
3.0,2.0,22.0,802,16.82,5728.0,8.0,20.0,32.0,44.0,56.0,56.0,56.0
3.0,1.0,26.0,802,16.63,4272.0,12.0,20.0,24.0,28.0,28.0,32.0,40.0
4.0,3.0,16.0,802,16.52,3944.0,12.0,16.0,20.0,20.0,24.0,28.0,36.0
4.0,2.0,32.0,802,18.33,2112.0,4.0,4.0,8.0,12.0,12.0,20.0,32.0
3.0,2.0,35.0,802,17.0,2352.0,4.0,12.0,16.0,16.0,20.0,20.0,24.0
4.0,4.0,21.0,802,18.36,1832.0,0.0,0.0,4.0,12.0,20.0,24.0,28.0
4.0,3.0,21.0,802,15.97,2456.0,8.0,8.0,16.0,20.0,20.0,20.0,20.0
3.0,1.0,32.0,802,14.54,10680.0,36.0,52.0,60.0,64.0,68.0,68.0,68.0
4.0,3.0,35.0,802,15.49,8056.0,20.0,36.0,48.0,48.0,48.0,52.0,60.0
4.0,1.0,46.0,802,15.06,8680.0,20.0,24.0,44.0,52.0,56.0,56.0,60.0
4.0,4.0,15.0,802,15.2,6216.0,16.0,24.0,36.0,40.0,44.0,44.0,44.0
4.0,3.0,41.0,802,17.12,2664.0,4.0,12.0,12.0,20.0,20.0,28.0,28.0
4.0,1.0,36.0,802,15.93,4944.0,8.0,16.0,32.0,32.0,36.0,40.0,40.0
3.0,2.0,16.0,802,15.62,7344.0,16.0,28.0,48.0,48.0,52.0,56.0,56.0
3.0,2.0,44.0,802,16.38,3160.0,4.0,8.0,24.0,24.0,24.0,28.0,28.0
4.0,3.0,23.0,802,19.6,712.0,0.0,0.0,0.0,4.0,4.0,12.0,20.0
4.0,3.0,42.0,802,16.79,4944.0,12.0,16.0,20.0,32.0,40.0,48.0,48.0
3.0,1.0,15.0,802,16.78,3720.0,8.0,12.0,16.0,28.0,36.0,36.0,36.0
4.0,4.0,15.0,802,17.69,4560.0,0.0,4.0,20.0,36.0,52.0,56.0,56.0
4.0,2.0,22.0,802,18.17,2800.0,0.0,4.0,12.0,20.0,28.0,36.0,40.0
3.0,1.0,42.0,802,16.57,6504.0,16.0,28.0,36.0,52.0,56.0,60.0,60.0
3.0,2.0,34.0,802,14.85,5384.0,12.0,24.0,32.0,32.0,36.0,36.0,36.0
4.0,2.0,34.0,802,17.5,4816.0,0.0,4.0,20.0,40.0,48.0,56.0,56.0
3.0,1.0,23.0,802,16.02,5352.0,16.0,32.0,32.0,36.0,40.0,40.0,44.0
3.0,2.0,22.0,802,16.21,7960.0,24.0,36.0,48.0,56.0,68.0,68.0,68.0
4.0,3.0,11.0,802,16.4,3600.0,4.0,4.0,20.0,28.0,32.0,32.0,32.0
4.0,3.0,32.0,802,16.32,5488.0,16.0,24.0,32.0,40.0,40.0,44.0,48.0
3.0,3.0,34.0,802,15.02,8144.0,20.0,36.0,44.0,48.0,52.0,56.0,56.0
3.0,3.0,14.0,802,15.49,7520.0,20.0,20.0,36.0,44.0,52.0,56.0,56.0
3.0,3.0,41.0,802,13.97,10248.0,44.0,52.0,56.0,56.0,60.0,60.0,60.0
4.0,3.0,23.0,802,14.8,10248.0,36.0,52.0,56.0,68.0,68.0,68.0,68.0
4.0,4.0,45.0,802,16.4,6288.0,4.0,28.0,40.0,44.0,56.0,56.0,56.0
3.0,4.0,43.0,802,14.05,9456.0,36.0,40.0,48.0,52.0,56.0,56.0,56.0
4.0,3.0,36.0,802,14.91,12440.0,48.0,64.0,64.0,68.0,76.0,80.0,84.0
4.0,3.0,46.0,802,17.39,6024.0,4.0,8.0,36.0,48.0,56.0,64.0,68.0
4.0,1.0,11.0,802,16.02,4864.0,16.0,16.0,16.0,28.0,32.0,32.0,40.0
3.0,2.0,35.0,802,14.17,5312.0,12.0,20.0,24.0,28.0,32.0,32.0,32.0
